Sample,X,Y,Z
442,0.039,-0.066,1.023
443,-0.070,-0.039,1.051
444,0.086,0.043,0.988
445,0.082,0.039,0.980
446,0.000,-0.090,0.938
447,0.027,-0.164,0.922
448,-0.238,-0.070,1.125
449,-0.211,0.133,1.137
450,-0.172,0.125,1.016
451,0.008,0.020,0.953
452,0.020,-0.059,0.898
453,0.184,0.043,0.973
454,-0.066,0.023,0.934
455,0.230,-0.059,0.922
456,0.230,-0.059,0.922
457,0.016,-0.113,0.969
458,0.059,0.016,0.953
459,-0.070,-0.070,0.969
460,-0.066,-0.078,0.965
461,-0.117,-0.105,1.031
462,-0.059,0.047,1.184
463,-0.031,0.121,1.113
464,0.129,-0.039,0.906
465,0.199,-0.059,0.910
466,0.195,-0.066,0.969
467,0.074,-0.082,1.055
468,0.055,-0.109,1.039
469,-0.008,-0.074,0.988
470,-0.023,0.082,0.961
471,-0.199,-0.094,0.934
472,-0.133,-0.125,1.008
473,-0.312,-0.086,1.105
474,0.043,0.094,0.992
475,-0.051,0.188,1.008
476,0.219,0.105,0.844
477,0.102,0.004,0.840
478,0.074,-0.133,0.953
479,-0.078,0.008,1.121
480,-0.047,0.184,1.145
481,-0.117,0.031,0.957
482,0.035,-0.012,0.945
483,-0.105,-0.051,1.000
484,-0.105,0.004,1.109
485,0.047,-0.059,0.980
486,0.195,-0.156,0.934
487,0.148,0.102,0.980
488,-0.020,0.059,0.988
489,0.117,-0.238,0.887
490,-0.051,-0.203,0.926
491,-0.070,0.039,1.098
492,-0.121,0.027,1.090
493,-0.145,-0.062,0.984
494,-0.105,-0.039,1.004
495,-0.004,0.016,1.031
496,-0.023,-0.020,0.926
497,0.172,0.031,0.973
498,-0.004,-0.004,0.930
499,0.004,-0.113,0.973
500,0.043,0.012,1.102
501,-0.246,0.059,1.070
502,0.051,-0.191,0.848
503,0.148,-0.047,0.859
504,0.148,-0.047,0.859
505,-0.176,0.145,1.148
506,-0.168,0.078,1.188
507,-0.117,-0.141,0.992
508,0.074,-0.035,1.027
509,0.211,0.176,0.977
510,0.086,0.160,0.816
511,0.258,-0.098,0.840
512,-0.004,-0.176,0.977
513,-0.004,0.035,1.137
514,-0.074,0.023,1.051
515,-0.004,0.012,0.871
516,0.133,-0.258,0.980
517,-0.160,-0.117,0.969
518,-0.086,-0.031,1.105
519,0.059,0.090,1.059
520,0.156,0.094,0.965
521,0.086,-0.066,0.953
522,0.109,-0.078,0.941
523,-0.164,-0.098,0.941
524,-0.055,0.164,1.152
525,-0.211,0.133,1.027
526,-0.090,-0.012,0.934
527,-0.258,-0.039,0.961
528,-0.195,0.039,1.105
529,-0.180,0.094,0.988
530,0.152,-0.016,0.836
531,-0.043,-0.043,0.902
532,0.027,0.059,0.918
533,-0.035,0.035,1.012
534,-0.180,-0.215,1.023
535,0.094,-0.141,1.055
536,-0.090,0.094,1.035
537,0.074,-0.098,1.004
538,0.262,-0.180,0.992
539,-0.023,0.051,1.062
540,0.164,0.109,1.004
541,0.262,-0.105,0.945
542,0.145,-0.195,0.895
543,0.016,0.098,1.094
544,-0.090,0.215,1.125
545,0.055,0.016,0.914
546,0.191,-0.023,0.852
547,-0.152,0.125,0.918
548,-0.008,-0.016,1.031
549,-0.176,-0.020,1.031
550,-0.074,0.215,1.094
551,-0.074,0.121,1.055
552,-0.074,0.121,1.055
553,0.105,-0.133,0.859
554,0.020,-0.176,0.914
555,0.051,-0.004,1.043
556,-0.184,-0.043,0.957
557,0.113,-0.094,0.992
558,-0.289,-0.074,0.934
559,-0.125,-0.137,1.023
560,-0.371,-0.133,1.113
561,-0.230,0.090,1.148
562,-0.184,0.051,1.027
563,0.133,-0.051,0.867
564,-0.012,-0.129,0.977
565,0.211,0.059,1.012
566,-0.066,-0.070,0.895
567,0.418,-0.082,0.980
568,0.109,-0.047,0.914
569,0.066,-0.094,0.969
570,-0.012,-0.062,1.043
571,0.023,0.012,1.020
572,0.105,0.148,1.066
573,-0.004,0.074,0.930
574,0.090,-0.027,1.023
575,-0.102,-0.035,1.051
576,0.047,0.016,1.023
577,-0.027,0.098,0.992
578,0.012,0.016,0.902
579,0.012,-0.070,0.898
580,-0.285,-0.113,1.051
581,-0.105,-0.074,1.086
582,-0.254,-0.004,1.016
583,0.043,0.070,1.035
584,-0.277,-0.086,0.945
585,0.254,-0.168,0.895
586,-0.152,-0.086,0.918
587,0.109,0.066,1.043
588,0.008,-0.117,0.883
589,0.156,-0.156,0.945
590,-0.180,0.059,1.105
591,-0.148,0.113,1.113
592,0.008,-0.016,0.992
593,0.098,-0.066,0.988
594,0.059,-0.016,1.086
595,0.105,0.223,1.098
596,-0.012,0.062,0.941
597,0.434,-0.035,0.867
598,0.094,0.027,0.906
599,0.172,0.180,0.965
600,0.172,0.180,0.965
601,-0.121,-0.156,0.871
602,-0.059,-0.160,1.039
603,-0.277,0.203,1.250
604,-0.219,0.234,1.078
605,-0.043,-0.121,0.816
606,0.051,-0.207,0.875
607,-0.055,-0.020,1.094
608,-0.098,-0.031,1.023
609,0.262,-0.051,0.969
610,-0.070,-0.055,0.945
611,0.070,-0.176,0.922
612,-0.148,-0.344,0.926
613,-0.277,-0.109,1.160
614,-0.223,0.051,1.184
615,-0.008,-0.059,1.020
616,0.148,-0.035,0.887
617,0.051,0.043,0.926
618,0.074,-0.047,0.953
619,0.125,-0.117,0.957
620,0.160,0.125,1.059
621,-0.102,0.172,1.000
622,0.078,0.137,0.898
623,-0.023,-0.109,0.945
624,0.051,-0.035,1.031
625,-0.074,0.211,1.102
626,-0.027,0.168,1.023
627,0.094,-0.074,0.977
628,-0.004,0.008,1.078
629,-0.035,0.215,1.074
630,0.008,-0.082,0.840
631,0.270,-0.211,0.867
632,-0.176,-0.023,1.078
633,-0.172,0.145,1.102
634,-0.246,-0.035,0.965
635,0.031,-0.105,0.910
636,-0.148,0.027,0.957
637,-0.051,0.074,1.012
638,-0.328,-0.059,0.988
639,0.035,-0.160,0.961
640,0.148,-0.094,0.949
641,0.004,0.109,0.945
642,0.125,0.109,0.953
643,-0.109,-0.281,0.926
644,-0.082,-0.320,1.078
645,0.078,0.066,1.258
646,-0.285,0.156,1.078
647,0.230,-0.070,0.852
648,0.152,-0.344,0.961
649,0.121,-0.117,1.074
650,-0.062,0.113,1.047
651,0.215,0.047,0.945
652,0.156,-0.098,0.934
653,0.047,-0.129,0.957
654,-0.004,0.000,0.949
655,-0.117,0.086,0.973
656,0.180,0.219,0.922
657,-0.227,0.066,0.938
658,0.082,0.094,1.020
659,-0.348,0.160,1.090
660,-0.047,0.266,1.117
661,-0.090,0.102,1.004
662,0.086,-0.164,0.922
663,-0.035,-0.062,0.957
664,-0.121,0.035,1.004
665,-0.027,-0.059,1.004
666,0.051,-0.316,0.863
667,0.023,-0.172,0.977
668,-0.102,0.094,1.121
669,-0.188,-0.008,1.047
670,-0.031,-0.230,0.977
671,0.016,-0.090,1.086
672,0.016,-0.090,1.086
673,-0.023,0.125,1.070
674,0.168,-0.023,0.871
675,0.043,-0.191,0.852
676,0.039,-0.086,0.992
677,-0.090,0.000,1.086
678,0.023,0.078,0.992
679,0.129,0.062,0.910
680,0.133,0.043,0.910
681,0.012,0.020,1.027
682,0.156,0.008,1.035
683,0.148,0.016,1.031
684,0.172,0.098,0.965
685,0.207,0.059,0.969
686,-0.078,-0.121,0.918
687,-0.133,-0.160,1.043
688,-0.148,0.051,1.188
689,-0.367,0.070,1.129
690,-0.125,-0.059,0.941
691,-0.262,-0.156,0.961
692,0.023,-0.004,0.934
693,-0.059,-0.043,0.879
694,0.191,-0.020,0.906
695,-0.078,-0.039,0.941
696,0.016,-0.035,1.074
697,-0.012,-0.012,1.043
698,-0.082,0.129,0.984
699,0.078,-0.051,0.922
700,0.027,-0.125,1.000
701,-0.102,0.129,1.172
702,-0.086,0.168,1.086
703,0.168,0.078,0.930
704,0.156,-0.113,0.863
705,0.328,0.062,0.977
706,-0.160,0.023,0.969
707,0.227,-0.047,0.980
708,-0.055,-0.125,0.980
709,0.168,0.016,1.027
710,-0.242,-0.023,0.996
711,0.121,-0.109,1.016
712,-0.293,-0.215,0.973
713,0.152,-0.098,1.023
714,-0.035,0.117,1.059
715,-0.035,-0.004,0.965
716,0.117,-0.250,0.812
717,0.031,-0.125,0.977
718,-0.117,0.195,1.109
719,-0.227,0.012,0.973
720,0.023,-0.156,0.930
721,-0.355,-0.027,1.098
722,-0.277,0.133,1.176
723,-0.305,0.141,1.066
724,-0.066,0.070,0.969
725,0.094,0.066,0.934
726,0.043,0.086,0.914
727,0.098,0.035,0.887
728,0.094,-0.062,0.895
729,0.160,-0.086,1.000
730,0.016,0.062,0.969
731,0.074,0.090,0.977
732,-0.027,-0.203,0.926
733,0.184,-0.176,1.047
734,-0.121,0.016,1.195
735,0.227,0.180,1.082
736,0.133,-0.066,0.934
737,0.531,-0.270,0.836
738,0.047,-0.074,0.957
739,-0.027,0.020,1.141
740,-0.039,0.012,1.102
741,-0.176,-0.055,0.996
742,0.066,-0.168,0.965
743,-0.141,-0.090,0.934
744,-0.203,0.023,1.047
745,0.027,0.066,1.020
746,-0.047,-0.039,0.867
747,0.047,-0.102,0.902
748,-0.129,0.051,0.973
749,-0.242,0.090,0.996
750,-0.172,0.027,0.988
751,-0.164,-0.004,0.887
752,-0.219,0.094,1.039
753,-0.395,0.184,1.152
754,-0.223,-0.059,1.082
755,0.031,-0.039,1.043
756,-0.062,0.215,1.000
757,0.281,0.137,0.906
758,0.176,-0.230,0.855
759,0.309,-0.266,0.957
760,0.055,0.031,1.137
761,0.090,0.211,1.102
762,0.055,-0.031,0.965
763,0.105,-0.277,0.867
764,0.027,-0.203,0.992
765,-0.031,0.164,1.141
766,0.031,0.180,1.051
767,0.207,-0.137,0.914
768,0.320,-0.188,0.844
769,0.195,0.000,0.934
770,0.094,0.125,0.984
771,0.160,-0.141,0.902
772,0.094,-0.262,0.961
773,0.012,-0.012,1.141
774,-0.387,0.133,1.125
775,-0.090,-0.035,1.020
776,-0.176,-0.199,0.898
777,-0.027,0.059,1.012
778,-0.223,0.195,1.000
779,-0.156,-0.008,0.957
780,-0.059,-0.074,0.949
781,-0.113,0.020,0.941
782,-0.211,0.105,1.020
783,-0.145,0.105,0.984
784,-0.258,-0.113,0.992
785,-0.184,-0.113,1.023
786,-0.121,0.133,1.074
787,-0.105,0.105,1.000
788,0.008,-0.094,0.902
789,0.109,-0.148,0.949
790,0.051,0.051,1.066
791,0.148,0.133,0.992
792,0.133,-0.008,1.035
793,0.332,-0.270,0.840
794,0.188,-0.176,0.992
795,-0.062,0.113,1.129
796,0.098,-0.020,1.020
797,0.031,-0.215,0.926
798,0.133,-0.145,0.980
799,-0.133,0.121,1.176
800,-0.086,0.160,1.109
801,0.059,-0.066,0.945
802,0.262,-0.133,0.824
803,0.168,0.070,0.824
804,-0.094,-0.062,0.941
805,0.039,-0.160,1.020
806,-0.316,-0.113,1.102
807,-0.090,0.066,1.066
808,-0.172,0.051,1.035
809,-0.141,-0.121,1.000
810,0.000,-0.113,0.977
811,-0.172,-0.004,0.992
812,0.098,0.090,0.973
813,0.008,-0.012,0.934
814,-0.066,0.039,1.000
815,-0.062,0.086,1.027
816,-0.289,0.078,0.965
817,0.047,-0.023,0.902
818,-0.051,0.023,0.922
819,-0.023,0.254,1.070
820,-0.184,0.164,1.074
821,0.152,-0.008,0.988
822,0.086,0.031,0.965
823,0.211,0.039,0.961
824,0.148,0.000,0.984
825,0.051,-0.250,1.023
826,0.121,-0.281,1.000
827,-0.090,0.031,1.074
828,0.062,0.008,0.984
829,-0.031,-0.301,0.934
830,-0.094,-0.367,1.074
831,-0.152,0.086,1.246
832,-0.219,0.227,1.133
833,0.055,-0.117,0.844
834,0.309,-0.352,0.773
835,-0.035,-0.090,0.938
836,-0.109,0.238,0.914
837,-0.012,0.035,0.910
838,0.020,-0.133,0.879
839,0.031,0.133,1.035
840,0.031,0.133,1.035
841,-0.344,0.320,1.121
842,-0.020,0.156,1.027
843,-0.062,-0.125,0.922
844,0.277,-0.051,1.016
845,0.039,0.227,1.070
846,0.098,0.090,0.980
