Sample,X,Y,Z
417,0.145,-0.078,0.906
418,0.090,0.027,1.086
419,-0.453,0.184,1.184
420,0.164,-0.090,0.961
421,0.352,0.016,0.957
422,0.219,0.344,0.945
423,0.105,-0.016,0.809
424,0.504,-0.184,0.789
425,-0.387,-0.094,0.973
426,0.133,0.160,1.273
427,-0.277,0.141,1.090
428,-0.133,0.016,0.859
429,0.121,0.008,0.965
430,-0.434,-0.078,1.027
431,0.074,-0.129,1.043
432,0.074,-0.129,1.043
433,0.133,0.027,1.023
434,-0.047,0.066,0.922
435,0.035,-0.199,0.941
436,0.133,-0.141,1.000
437,-0.594,-0.062,1.074
438,0.008,-0.129,1.113
439,-0.215,-0.070,1.066
440,0.023,0.176,1.008
441,0.062,0.148,0.945
442,-0.012,0.043,0.805
443,0.172,-0.250,0.875
444,-0.059,-0.039,1.105
445,-0.074,0.246,1.195
446,-0.113,0.090,0.980
447,0.199,-0.082,0.758
448,0.066,-0.117,0.887
449,-0.031,0.023,1.016
450,-0.199,0.043,1.062
451,0.125,0.027,1.039
452,0.062,0.074,1.082
453,0.051,0.129,1.047
454,0.070,-0.199,0.844
455,0.230,-0.191,0.930
456,-0.004,-0.016,1.102
457,0.141,0.066,1.148
458,-0.043,-0.152,0.922
459,0.180,-0.207,0.891
460,-0.160,-0.125,0.945
461,-0.168,-0.066,1.066
462,-0.215,0.008,1.129
463,-0.008,0.000,0.973
464,0.000,0.027,0.895
465,-0.004,0.105,0.996
466,-0.062,-0.031,0.957
467,0.156,-0.023,0.973
468,0.027,0.043,0.969
469,0.133,0.215,0.973
470,-0.051,0.086,0.941
471,-0.121,-0.102,0.938
472,-0.254,-0.074,1.199
473,-0.074,0.105,1.172
474,0.020,0.109,0.973
475,0.191,0.074,0.875
476,0.180,-0.078,0.871
477,0.082,-0.156,0.914
478,-0.047,-0.051,1.074
479,-0.055,-0.023,1.086
480,-0.055,-0.023,1.086
481,0.012,-0.035,0.969
482,-0.078,-0.105,0.898
483,-0.102,-0.215,0.992
484,-0.355,-0.066,1.172
485,-0.160,-0.031,1.062
486,0.184,-0.141,0.965
487,0.238,0.109,0.961
488,0.070,0.074,0.906
489,0.129,-0.090,0.898
490,-0.070,-0.242,0.977
491,-0.016,-0.008,1.180
492,-0.176,0.223,1.152
493,-0.082,0.203,0.879
494,-0.023,-0.238,0.836
495,-0.078,-0.078,1.117
496,-0.312,0.266,1.172
497,0.199,0.203,0.941
498,0.402,-0.020,0.723
499,0.215,-0.004,0.852
500,0.211,0.207,1.012
501,-0.199,-0.102,0.926
502,0.348,-0.250,1.023
503,-0.039,0.055,1.121
504,-0.156,0.199,1.152
505,-0.117,-0.215,1.020
506,-0.094,-0.301,1.035
507,-0.082,-0.059,1.027
508,0.293,0.074,1.027
509,0.004,-0.094,0.895
510,0.145,-0.242,0.828
511,0.055,-0.082,0.988
512,-0.449,0.016,1.094
513,0.016,0.008,1.004
514,-0.215,0.094,0.992
515,-0.219,0.051,0.902
516,-0.152,-0.070,0.996
517,-0.398,0.082,1.102
518,-0.062,0.207,0.984
519,0.055,0.109,0.945
520,0.145,0.016,0.844
521,0.219,0.129,0.945
522,-0.301,0.105,1.031
523,-0.055,-0.105,1.043
524,0.195,-0.117,1.074
525,-0.113,0.145,1.090
526,0.082,0.004,0.930
527,0.379,-0.234,0.891
528,-0.164,-0.293,1.035
529,0.199,0.055,1.164
530,0.012,0.172,1.023
531,0.270,-0.004,0.914
532,0.375,-0.270,0.758
533,-0.023,-0.164,0.984
534,-0.227,0.176,1.199
535,-0.258,0.129,1.039
536,0.203,-0.098,0.875
537,0.043,0.082,0.988
538,-0.129,0.148,1.043
539,-0.152,-0.121,1.000
540,0.004,-0.043,0.988
541,0.051,0.023,1.035
542,0.168,0.082,0.926
543,-0.020,-0.090,0.848
544,0.004,-0.109,0.961
545,-0.367,-0.027,1.027
546,-0.285,-0.090,1.090
547,-0.168,0.051,1.117
548,-0.215,0.148,0.988
549,-0.078,0.008,0.992
550,-0.121,-0.074,0.996
551,-0.066,-0.031,1.051
552,0.121,0.039,0.996
553,0.246,0.016,0.973
554,0.219,-0.062,0.914
555,0.211,-0.023,0.801
556,-0.031,-0.125,0.961
557,0.012,-0.297,1.039
558,-0.098,-0.094,1.098
559,-0.098,0.230,1.082
560,0.164,0.090,1.008
561,-0.117,-0.199,0.895
562,0.328,-0.098,0.957
563,-0.211,-0.070,0.922
564,0.473,0.051,0.965
565,-0.082,0.145,1.035
566,0.086,0.051,1.012
567,-0.246,-0.078,0.965
568,-0.230,-0.082,1.129
569,-0.262,0.039,1.160
570,-0.082,-0.008,1.055
