Sample,X,Y,Z
313,-0.008,-0.145,0.965
314,-0.527,-0.098,1.215
315,0.160,0.000,1.117
316,-0.422,0.238,0.996
317,0.234,0.227,1.008
318,-0.270,-0.301,0.750
319,-0.059,-0.395,0.836
320,-0.020,0.086,1.266
321,0.031,0.434,1.203
322,0.242,0.141,0.852
323,0.680,-0.383,0.688
324,0.312,-0.305,0.855
325,0.055,0.125,1.074
326,-0.086,0.230,1.078
327,0.102,0.090,1.000
328,0.109,0.094,1.008
329,-0.262,-0.109,1.035
330,-0.254,-0.121,1.180
331,0.000,0.141,1.191
332,-0.191,0.082,1.051
333,0.590,-0.105,0.836
334,0.129,-0.242,0.801
335,0.168,-0.188,0.883
336,0.168,-0.188,0.883
337,0.020,-0.082,0.980
338,-0.164,0.059,0.973
339,-0.176,0.012,0.883
340,-0.273,-0.043,0.977
341,-0.512,-0.176,1.156
342,-0.168,-0.090,1.191
343,-0.215,0.266,1.121
344,0.031,0.305,0.883
345,0.391,-0.191,0.652
346,0.203,-0.414,0.781
347,-0.148,0.062,1.281
348,-0.129,0.266,1.199
349,-0.172,0.191,0.984
350,0.168,-0.012,0.809
351,-0.141,-0.391,0.742
352,-0.336,-0.219,1.195
353,-0.176,0.176,1.453
354,-0.004,0.297,1.133
355,0.375,0.195,0.742
356,0.566,-0.273,0.625
357,0.328,-0.430,0.734
358,-0.129,-0.176,1.066
359,-0.109,0.496,1.391
360,-0.152,0.387,1.113
361,0.109,-0.121,0.762
362,-0.059,-0.496,0.824
363,-0.328,-0.121,1.203
364,-0.102,0.270,1.332
365,0.035,0.215,1.023
366,0.523,0.090,0.738
367,0.457,-0.305,0.605
368,0.094,-0.328,0.844
369,-0.473,0.047,1.316
370,-0.137,0.164,1.250
371,-0.211,0.152,0.949
372,-0.141,0.125,0.852
373,-0.141,-0.316,0.766
374,-0.660,-0.273,1.152
375,0.016,-0.004,1.309
376,-0.160,0.230,1.094
377,0.191,0.266,0.879
378,0.566,-0.199,0.680
379,0.105,-0.625,0.645
380,0.195,-0.277,1.066
381,-0.344,0.637,1.391
382,-0.242,0.355,1.023
383,0.367,-0.359,0.723
384,-0.484,-0.250,1.078
385,-0.215,0.230,1.383
386,-0.223,0.078,1.176
387,0.188,0.289,0.977
388,0.516,0.086,0.766
389,0.520,-0.285,0.676
390,0.309,-0.391,0.793
391,-0.020,0.051,1.188
392,-0.266,0.340,1.262
393,0.027,0.105,0.957
394,-0.102,-0.359,0.848
395,-0.035,-0.324,0.961
396,-0.379,0.285,1.273
397,-0.055,0.035,1.059
398,0.422,-0.078,0.848
399,0.066,0.035,0.801
400,0.230,-0.070,0.902
401,-0.285,-0.133,1.000
402,-0.180,0.020,1.059
403,-0.324,-0.012,1.129
404,-0.203,0.086,1.051
405,-0.102,0.008,0.992
406,-0.023,-0.137,0.957
407,-0.102,-0.176,0.992
408,0.238,0.047,1.051
409,0.082,0.141,0.984
410,0.281,0.066,0.895
411,0.242,-0.098,0.836
412,0.012,-0.180,0.848
413,-0.168,0.070,1.148
414,-0.246,0.199,1.125
415,-0.281,-0.051,1.020
416,-0.145,-0.141,1.047
417,-0.062,-0.012,1.082
418,0.027,0.148,1.066
419,0.207,0.035,0.852
420,0.402,-0.227,0.859
421,0.246,-0.121,1.008
422,0.055,0.090,1.109
423,0.188,0.141,1.035
424,0.062,0.062,0.867
425,-0.008,-0.105,0.836
426,-0.188,-0.062,1.090
427,-0.516,-0.043,1.195
428,-0.012,0.051,1.125
429,-0.109,0.184,0.961
430,0.180,-0.012,0.750
431,0.262,-0.367,0.824
432,-0.055,-0.168,0.977
433,-0.094,0.105,1.113
434,0.141,0.109,1.004
435,-0.074,0.090,0.941
436,-0.039,0.000,0.910
437,-0.387,-0.219,1.059
438,-0.332,-0.023,1.285
439,-0.156,0.117,1.172
440,-0.074,0.270,0.945
441,0.375,0.102,0.715
442,0.230,-0.371,0.730
443,0.016,-0.324,0.973
444,-0.125,0.230,1.266
445,-0.047,0.238,1.066
446,0.051,-0.062,0.910
447,0.164,-0.215,0.805
448,-0.215,-0.277,0.926
449,-0.109,-0.035,1.223
450,-0.055,0.219,1.207
451,0.160,0.188,0.969
452,0.402,-0.039,0.781
453,0.188,-0.305,0.812
454,0.016,-0.031,1.133
455,-0.223,0.223,1.219
456,-0.008,0.078,0.957
457,0.137,-0.008,0.809
458,-0.113,0.000,0.844
459,-0.301,-0.129,1.000
460,-0.328,-0.152,1.160
461,-0.012,0.047,1.137
462,0.039,0.250,1.031
463,0.258,-0.027,0.797
464,0.312,-0.445,0.715
465,0.094,-0.297,0.953
466,-0.191,0.281,1.223
467,-0.098,0.180,1.047
468,-0.125,-0.195,0.828
469,-0.207,-0.133,1.117
470,-0.387,0.055,1.199
471,-0.223,0.012,1.078
472,0.074,0.156,0.973
473,0.258,0.125,0.832
474,0.160,-0.199,0.801
475,0.234,-0.199,1.023
476,-0.039,0.133,1.172
477,0.004,0.152,1.012
478,0.109,0.031,0.879
479,0.020,-0.219,0.844
480,-0.109,-0.219,0.949
481,-0.531,0.094,1.281
482,0.156,0.125,1.207
483,0.004,0.109,0.945
484,0.309,0.160,0.770
485,0.363,-0.266,0.699
486,0.012,-0.359,0.910
487,-0.297,0.293,1.305
488,0.098,0.262,1.141
489,-0.191,0.066,0.875
490,0.047,-0.148,0.832
491,-0.117,-0.449,0.910
492,-0.418,-0.156,1.309
493,0.125,0.340,1.281
494,0.129,0.184,0.859
495,0.508,-0.223,0.648
496,0.383,-0.449,0.820
497,-0.324,0.035,1.195
498,-0.227,0.215,1.211
499,0.195,0.070,0.957
500,-0.199,0.234,0.902
501,0.039,-0.020,0.848
502,-0.652,-0.262,1.082
503,-0.141,-0.039,1.316
504,-0.141,-0.039,1.316
505,-0.012,0.109,1.117
506,0.102,0.441,1.000
507,0.469,-0.074,0.559
508,0.590,-0.570,0.605
509,0.055,-0.426,0.859
510,-0.355,0.375,1.414
511,0.000,0.266,1.164
512,0.027,-0.188,0.941
513,0.000,-0.039,0.895
514,-0.328,-0.066,0.996
515,-0.453,0.152,1.207
516,-0.117,-0.020,1.145
517,0.387,-0.078,0.906
518,-0.027,0.340,1.023
519,0.305,0.059,0.828
520,0.094,-0.492,0.750
521,-0.008,-0.188,0.988
522,-0.172,0.371,1.199
523,-0.090,0.129,0.996
524,-0.094,-0.207,0.816
525,-0.176,-0.094,1.129
526,-0.266,0.180,1.207
527,-0.020,0.078,0.941
528,0.363,-0.027,0.871
529,0.082,-0.113,0.879
530,0.180,-0.039,1.062
531,-0.039,-0.008,0.984
532,-0.039,-0.047,0.953
533,0.102,0.008,0.934
534,-0.391,-0.184,1.035
535,-0.113,-0.262,1.082
536,-0.066,-0.078,1.152
537,-0.207,0.145,1.074
538,0.367,0.027,0.906
539,0.285,-0.324,0.707
540,0.270,-0.168,0.898
541,-0.020,0.180,1.145
542,0.051,0.180,1.035
543,0.094,0.074,0.902
544,-0.188,0.090,0.996
545,-0.285,0.109,1.121
546,-0.273,-0.176,1.043
547,-0.152,-0.098,1.109
548,0.086,0.395,1.086
549,0.117,0.297,0.863
550,0.359,-0.348,0.609
551,0.113,-0.430,0.945
552,-0.156,0.270,1.324
553,-0.055,0.223,1.109
554,0.078,0.004,0.824
555,0.156,-0.176,0.738
556,-0.324,-0.340,0.934
557,-0.523,0.012,1.398
558,-0.141,0.004,1.254
559,-0.062,0.105,0.945
560,0.199,0.117,0.809
561,0.289,-0.371,0.723
562,0.148,-0.367,0.828
563,-0.406,0.199,1.266
564,0.230,0.082,1.102
565,-0.016,-0.012,0.832
566,0.102,0.090,0.867
567,-0.238,-0.230,0.957
568,-0.312,-0.156,1.129
569,-0.059,0.227,1.270
570,0.098,0.266,0.973
571,0.172,0.043,0.781
572,0.402,-0.246,0.840
573,-0.105,-0.027,1.090
574,-0.004,0.152,1.105
575,0.125,-0.027,0.973
576,0.125,-0.027,0.973
577,-0.012,0.008,0.957
578,0.012,-0.062,0.988
579,-0.242,-0.227,0.980
580,-0.109,-0.207,1.113
581,-0.023,0.055,1.164
582,0.188,0.188,0.992
583,0.273,-0.051,0.789
584,0.285,-0.164,0.879
585,-0.031,0.059,1.066
586,0.117,0.176,1.020
587,-0.031,0.168,0.941
588,-0.090,0.172,0.914
589,-0.438,0.012,1.043
590,-0.473,-0.305,1.133
591,-0.117,-0.188,1.180
592,-0.199,0.340,1.148
