Sample,X,Y,Z
715,0.410,0.004,0.809
716,-0.074,0.004,0.949
717,-0.148,-0.059,1.027
718,-0.281,-0.043,1.137
719,-0.363,-0.027,1.121
720,-0.160,0.000,1.055
721,-0.016,0.039,1.027
722,0.180,-0.027,0.945
723,0.324,0.004,0.895
724,0.254,0.039,0.875
725,0.172,-0.031,0.969
726,0.066,0.039,1.039
727,-0.188,0.062,1.016
728,-0.191,0.059,1.047
729,-0.402,-0.066,1.094
730,-0.230,-0.129,1.051
731,-0.180,-0.113,1.043
732,0.066,-0.105,0.973
733,0.246,-0.008,0.949
734,0.293,-0.008,0.840
735,0.258,-0.109,0.879
736,0.137,0.016,0.945
737,-0.070,0.078,0.938
738,-0.176,-0.012,0.984
739,-0.355,0.000,1.160
740,-0.523,0.059,1.184
741,-0.184,-0.012,1.121
742,-0.172,-0.109,0.941
743,0.395,-0.027,0.953
744,0.395,-0.027,0.953
745,0.230,-0.059,0.934
746,0.387,-0.086,0.895
747,0.504,0.016,0.922
748,0.074,0.035,0.906
749,0.133,0.055,0.969
750,-0.379,0.027,1.066
751,-0.406,-0.105,1.082
752,-0.383,0.004,1.234
753,-0.324,0.172,1.117
754,0.051,0.031,0.910
755,0.281,-0.102,0.812
756,0.336,0.078,0.840
757,0.176,0.082,0.898
758,0.227,-0.098,0.934
759,0.023,-0.023,1.020
760,-0.191,0.039,1.035
761,-0.293,-0.051,1.012
762,-0.355,-0.184,1.094
763,-0.359,-0.129,1.172
764,-0.113,-0.195,1.059
765,0.184,-0.086,0.992
766,0.344,0.145,0.910
767,0.281,0.035,0.746
768,0.281,0.035,0.746
769,0.355,-0.047,0.863
770,-0.133,-0.078,1.000
771,-0.180,0.043,1.184
772,-0.383,0.145,1.039
773,-0.383,0.086,1.055
774,-0.172,-0.098,0.980
775,-0.234,-0.145,1.035
776,0.164,-0.031,1.055
777,0.242,0.023,0.957
778,0.527,0.035,0.855
779,0.465,-0.055,0.836
780,0.227,-0.137,0.902
781,0.129,0.008,1.066
782,-0.129,0.035,1.133
783,-0.195,0.051,1.090
784,-0.309,0.000,1.027
785,-0.348,-0.102,1.035
786,-0.168,-0.004,1.133
787,-0.008,0.062,0.965
788,0.160,0.031,0.871
789,0.238,-0.016,0.883
790,0.164,-0.051,0.934
791,0.043,-0.066,0.957
792,0.184,0.008,0.941
793,-0.219,0.121,0.965
794,-0.211,-0.008,0.949
795,-0.355,-0.121,1.051
796,-0.383,0.043,1.168
797,-0.215,0.020,1.062
798,-0.031,0.020,0.969
799,0.125,-0.027,0.969
800,0.129,-0.160,0.902
801,0.199,-0.152,0.910
802,0.184,-0.016,0.973
803,-0.004,0.004,1.031
804,-0.074,-0.098,1.000
805,-0.164,-0.148,1.027
806,-0.188,-0.059,1.102
807,-0.039,0.039,1.039
808,0.090,0.016,0.980
809,0.301,0.023,0.957
810,0.145,-0.016,0.941
811,0.270,0.027,0.957
812,0.180,0.074,0.980
813,0.141,0.066,0.965
814,0.062,0.055,0.969
815,-0.262,0.039,1.004
816,-0.262,0.039,1.004
817,-0.230,0.035,1.059
818,-0.297,-0.066,0.996
819,-0.023,-0.031,1.070
820,-0.156,0.055,1.000
821,0.160,-0.051,0.898
822,0.262,-0.094,0.910
823,0.195,0.059,0.938
824,0.168,0.086,0.914
825,-0.031,0.051,0.898
826,-0.270,-0.035,0.984
827,-0.406,-0.070,1.137
828,-0.500,-0.023,1.223
829,-0.414,-0.012,1.156
830,-0.070,-0.035,1.008
831,0.062,-0.176,0.859
832,0.293,-0.254,0.926
833,0.312,-0.098,0.926
834,0.398,0.090,0.918
835,0.250,-0.016,0.891
836,0.156,-0.055,0.922
837,-0.312,0.016,1.086
838,-0.258,-0.043,1.121
839,-0.387,-0.047,1.176
840,-0.184,0.164,1.117
841,-0.121,0.059,0.980
842,0.191,-0.105,0.902
843,0.301,-0.055,0.914
844,0.258,0.117,0.891
845,0.453,0.125,0.938
846,0.000,-0.098,0.824
847,0.141,-0.082,1.043
848,-0.367,0.062,1.156
849,-0.211,-0.016,1.059
850,-0.113,-0.027,1.000
851,-0.230,0.008,1.043
852,-0.137,-0.113,1.012
853,0.156,-0.062,1.023
854,0.039,0.047,0.980
855,0.344,0.102,0.953
856,0.094,-0.012,0.906
857,0.023,-0.059,0.930
858,-0.031,0.020,1.016
859,-0.355,-0.012,1.008
860,-0.129,-0.098,1.043
861,-0.270,0.016,1.102
862,-0.312,0.008,1.070
863,-0.023,-0.219,0.875
864,-0.023,-0.219,0.875
865,0.203,-0.109,0.910
866,0.148,0.062,1.039
867,0.320,0.066,0.914
868,0.082,-0.086,0.863
869,0.195,-0.008,0.969
870,-0.160,0.102,1.078
871,-0.164,-0.008,1.016
872,-0.145,-0.051,1.086
873,-0.383,0.000,1.141
874,-0.137,-0.027,1.148
875,0.020,-0.180,0.977
876,0.234,-0.055,0.934
877,0.391,0.055,0.883
878,0.316,-0.055,0.777
879,0.234,-0.125,0.906
880,0.047,0.023,1.039
881,-0.234,0.055,1.070
882,-0.125,0.055,1.000
883,-0.379,0.031,1.059
884,-0.246,0.008,1.066
885,-0.238,-0.098,1.078
886,0.055,0.004,1.008
887,0.113,0.176,0.988
888,0.148,0.070,0.887
889,0.230,-0.062,0.863
890,0.027,-0.059,0.879
891,-0.039,-0.039,0.996
892,-0.207,-0.047,1.051
893,-0.168,-0.012,1.078
894,-0.293,-0.055,1.051
895,-0.020,-0.117,0.988
896,0.121,-0.078,0.934
897,0.145,-0.004,0.938
898,0.363,0.004,1.020
899,0.000,0.016,0.980
900,0.168,0.035,1.004
901,0.031,0.020,0.984
902,-0.211,0.000,1.020
903,-0.086,0.039,1.094
904,-0.324,0.000,1.047
905,-0.176,-0.105,1.047
906,0.043,0.008,1.039
907,-0.012,-0.039,0.945
908,0.395,-0.074,0.875
909,0.133,-0.051,0.879
910,0.246,-0.031,0.918
911,0.070,-0.051,0.980
912,-0.133,-0.039,1.008
913,-0.145,-0.016,1.078
914,-0.301,0.098,1.059
915,-0.336,0.000,1.008
916,-0.066,-0.004,1.039
917,-0.172,0.008,1.016
918,0.070,-0.039,1.043
919,0.180,0.055,1.020
920,0.047,0.078,1.000
921,0.285,-0.059,0.836
922,0.094,-0.168,0.793
923,-0.027,0.047,1.027
924,-0.312,0.062,1.105
